Champs Local Code,C Name,C Pref Name,C Code
CH00050,CHAMPS MITS Mortality Surveillance Consent,MITS Consent,CH00050
CH00051,CHAMPS Mortality Surveillance Consent (non-MITS),Non-MITS Consent,CH00051
CH00052,CHAMPS Maternal Abstraction Consent,Maternal Abstraction Consent,CH00052
CH00053,Religious considerations,Religious considerations,CH00053
CH00054,Timing concerns,Timing concerns,CH00054
CH00055,Distrust,Distrust,CH00055
CH00056,Family disinterest,Family disinterest,CH00056
CH00057,Body not available,Body not available,CH00057
CH00058,Consent authorization issues,Consent authorization issues,CH00058
CH00059,CHAMPS procedure prohibited,CHAMPS procedure prohibited,CH00059
CH00060,Refusal without reason,Refusal without reason,CH00060
CH00061,Other Reason,Other Reason,CH00061
CH00062,January,January,CH00062
CH00063,February,February,CH00063
CH00064,March,March,CH00064
CH00065,April,April,CH00065
CH00066,May,May,CH00066
CH00067,June,June,CH00067
CH00068,July,July,CH00068
CH00069,August,August,CH00069
CH00070,September,September,CH00070
CH00071,October,October,CH00071
CH00072,November,November,CH00072
CH00073,December,December,CH00073
CH00074,Oropharyngeal mucosa,Oropharyngeal mucosa,54933
CH00075,Nasopharyngeal mucosa,Nasopharyngeal mucosa,54971
CH00076,Biopsy of Spleen,Spleen,32534001
CH00077,Whole blood,Whole blood,420135007
CH00078,Placental biopsy sample,Placenta,309293007
CH00079,Umbilical cord tissue sample,Umbilical cord,258436001
CH00080,Hair specimen,Hair,119326000
CH00081,Plasma or spun blood specimen,Plasma,119361006
CH00082,Bone marrow specimen,Bone marrow,119359002
CH00083,Cerebrospinal fluid sample,CSF,258450006
CH00084,Stool specimen,Stool,119339001
CH00085,Urine specimen,Urine,122575003
CH00086,Liver Tissue,Liver,256887000
CH00087,Skin Tissue,Skin,314818000
CH00088,Kidney Biopsy,Kidney,7246002
CH00089,Tissue specimen from lung,Lung,399492000
CH00090,Brain Tissue,Brain,256865009
CH00091,Heart Tissue,Heart,386108004
CH00092,Lymph node tissue,Lymph nodes,256891005
CH00093,Blood,Blood,87612001
CH00094,Spun urinary sediment,Urine pellet,258434003
CH00095,Rectal swab,Rectal swab,258528007
CH00096,Serum specimen,Serum,119364003
CH00097,Nucleic acid specimen,Nucleic acid,448789008
CH00098,Nasopharyngeal and Oropharyngeal swab,Nasopharyngeal and Oropharyngeal swab,433801000124107
CH00099,Fresh or Frozen Tissue,Fresh or Frozen Tissue,CH00099
CH00100,Urine Supernatant,Urine Supernatant,CH00100
CH00101,Microbial culture,Microbial culture,CH00101
CH00102,Blood in culture media,Blood in culture media,CH00102
CH00103,CSF in culture media,CSF in culture media,CH00103
CH00104,Fixed specimen,Fixed tissue specimen,C84514
CH00105,Cycle threshold,ct,BAO_0002125
CH00106,Nanogram per Microliter,ng/uL,272082007
CH00107,Nanogram per Milliliter,ng/ml,258806002
CH00108,Milligram,mg,C28253
CH00109,Milliliter,ml,C28254
CH00110,Microliter,uL,C48153
CH00111,Gram,g,C48155
CH00112,Inch,in,C48500
CH00113,Centimeter,cm,C49668
CH00114,Parasites per microliter,Parasites/ul,CH00114
CH00115,Cubic centimeter,cm3,UO_0000097
CH00116,Volume,Volume,C25335
CH00117,Enzyme-linked immunosorbent assay,ELISA,76978006
CH00118,Gram stain method,Gram stain,62777006
CH00119,Culture,Culture,252398009
CH00120,Malaria Smear,Malaria Smear,12845003
CH00121,Hematoxylin and eosin stain,HE stain,104210008
CH00122,Grocott methenamine silver stain,GMS stain,117310008
CH00123,Ziehl-Neelsen stain,Ziehl-Neelsen stain,406979008
CH00124,Analysis using real time polymerase chain reaction technique,RT PCR,444076003
CH00125,TaqMan Array Card,TaqMan Array Card,CH00125
CH00126,Roche Amplicor Monitor,Roche Amplicor Monitor,CH00126
CH00127,BioMerieux NucliSens easyQ,BioMerieux NucliSens easyQ,CH00127
CH00128,Versant kPCR,Versant kPCR,CH00128
CH00129,Other instrument,Other instrument,CH00129
CH00130,GeneXpert,GeneXpert,CH00130
CH00131,Life Technologies ViiATM 7 Real-Time PCR System,Life Technologies ViiATM 7 Real-Time PCR System,CH00131
CH00132,LifeTech QS7 Real Time PCR System,LifeTech QS7 Real Time PCR System,CH00132
CH00133,BD BACTEC,BD BACTEC,CH00133
CH00134,Advantage,Advantage,CH00134
CH00135,BinaxNOW,BinaxNOW,CH00135
CH00136,BioTracer,BioTracer,CH00136
CH00137,CareStart,CareStart,CH00137
CH00138,DIAQUICK,DIAQUICK,CH00138
CH00139,EzDx,EzDx,CH00139
CH00140,First Response,First Response,CH00140
CH00141,Humansis,Humansis,CH00141
CH00142,ICT Diagnostics,ICT Diagnostics,CH00142
CH00143,BioMerieux BacT/ALERT,BioMerieux BacT/ALERT,CH00143
CH00144,Maleriscan,Maleriscan,CH00144
CH00145,One Step,One Step,CH00145
CH00146,OnSite,OnSite,CH00146
CH00147,ParaHIT,ParaHIT,CH00147
CH00148,RapiGen,RapiGen,CH00148
CH00149,SD Bioline,SD Bioline,CH00149
CH00150,Trusty,Trusty,CH00150
CH00151,Abbott m2000,Abbott m2000,CH00151
CH00152,Roche COBAS TaqMan Analyzer/COBAS TaqMan 48 Analyzer,Roche COBAS TaqMan Analyzer/COBAS TaqMan 48 Analyzer,CH00152
CH00153,Respiratory TAC,Respiratory TAC,CH00153
CH00154,Neonatal TAC,Neonatal TAC,CH00154
CH00155,BloodCSF Tier 1 TAC,BloodCSF1 TAC,CH00155
CH00156,BloodCSF Tier 2 TAC,BloodCSF2 TAC,CH00156
CH00157,Diarrheal TAC,Diarrheal TAC,CH00157
CH00158,Klebsiella pneumoniae,Klebsiella pneumoniae,56415008
CH00159,Bacillus subtilis,Bacillus subtilis,83512007
CH00160,Candida albicans,Candida albicans,53326005
CH00161,Cryptococcus neoformans,Cryptococcus neoformans,67168003
CH00162,Eikenella corrodens,Eikenella corrodens,52591004
CH00163,Escherichia coli,Escherichia coli,112283007
CH00164,Aerococcus viridans,Aerococcus viridans,78803006
CH00165,Gram-positive cocci single cells,GPC singles,59206002
CH00166,Haemophilus influenzae,Haemophilus influenzae,44470000
CH00167,Neissera gonorrhoeae,Neissera gonorrhoeae,68704007
CH00168,Neisseria meningitidis,Neisseria meningitidis,17872004
CH00169,Proteus mirabilis,Proteus mirabilis,73457008
CH00170,Pseudomonas aeruginosa,Pseudomonas aeruginosa,52499004
CH00171,Staphylococcus aureus,Staphylococcus aureus,3092008
CH00172,Staphylococcus epidermidis,Staphylococcus epidermidis,60875001
CH00173,Enterococcus faecalis,Enterococcus faecalis,78065002
CH00174,Streptococcus pneumoniae,Streptococcus pneumoniae,9861002
CH00175,Streptococcus pyogenes,Streptococcus pyogenes,80166006
CH00176,Streptococcus sanguinis,Streptococcus sanguinis,113993000
CH00177,Enterobacter cloacae,Enterobacter cloacae,14385002
CH00178,Gram-positive rods,GPR,83514008
CH00179,Haemophilus influenzae Type B,Haemophilus influenzae Type B,103442008
CH00180,Negative,Negative,260385009
CH00181,Kingella kingae,Kingella kingae,90422000
CH00182,Gram-positive cocci in chains,GPC chains,61609004
CH00183,Gram-positive cocci in clusters,GPC clusters,70003006
CH00184,Gram-positive diplococci,GPDC,11471007
CH00185,Gram-negative cocci,GNC,18383003
CH00186,Gram-negative diplococci,GNDC,83410001
CH00187,Alcaligenes faecalis,Alcaligenes faecalis,25223004
CH00188,Cardiobacterium hominis,Cardiobacterium hominis,7333005
CH00189,Corynebacterium jeikeium,Corynebacterium jeikeium,63410006
CH00190,Providencia stuartii,Providencia stuartii,1445008
CH00191,Haemophilus parainfluenzae,Haemophilus parainfluenzae,51593004
CH00192,Leuconostoc mesenteroides,Leuconostoc mesenteroides,71403009
CH00193,Stomatococcus mucilaginosus,Stomatococcus mucilaginosus,416544005
CH00194,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia,113697002
CH00195,Candida parapsilosis,Candida parapsilosis,61302002
CH00196,Candida tropicalis,Candida tropicalis,47885008
CH00197,Candida glabrata,Candida glabrata,444877006
CH00198,Acinetobacter lwoffii,Acinetobacter lwoffii,83088009
CH00199,No organism seen,No organism seen,168230009
CH00200,Bacterial growth absent,No growth,82120007
CH00201,Pediococcus acidilactici,Pediococcus acidilactici,243237003
CH00202,Granulicatella adiacens,Granulicatella adiacens,113713009
CH00203,Abiotrophia defectiva,Abiotrophia defectiva,113714003
CH00204,Indeterminate result,Indeterminate result,280416009
CH00205,Haemophilus influenzae Type A,Haemophilus influenzae Type A,103441001
CH00206,Not tested,Not tested,C101887
CH00207,Yeasts and other fungal elements,Yeasts and other fungal elements,115988001
CH00208,Gram-negative coccobacilli,GNCB,53932007
CH00209,Gram-negative rods,GNR,87172008
CH00210,Positive,Positive,10828004
CH00211,Bacterial growth present,Growth,88458008
CH00212,Micrococcus luteus,Micrococcus luteus,48299003
CH00213,Actinobacillus actinomycetemcomitans,Actinobacillus actinomycetemcomitans,442680008
CH00214,Streptococcus agalactiae,Streptococcus agalactiae,43492007
CH00215,Interpreted,Interpreted,CH00215
CH00216,Other,Other,CH00216
CH00217,Sample quantity not sufficient,Sample quantity not sufficient,281268007
CH00218,Sample not received or lost,Sample not received or lost,C3845781
CH00219,Sample mix-up or aliquotting or labeling error,Sample mix-up or aliquotting or labeling error,CH00219
CH00220,Sample not handled or processed correctly,Sample not handled or processed correctly,CH00220
CH00221,Wrong test ordered,Wrong test ordered,CH00221
CH00222,No or Incomplete test run (reagent/instrument/method problem),No or Incomplete test run (reagent/instrument/method problem),CH00222
CH00223,Invalid test run (QC failure),Invalid test run (QC failure),CH00223
CH00224,Other reason,Other reason,CH00224
CH00225,Received in appropriate conditions and timeframe,Received in appropriate conditions and timeframe,CH00225
CH00226,Received more than 12 hrs after collection,Received more than 12 hrs after collection,CH00226
CH00227,Problem with tube labeling,Problem with tube labeling,CH00227
CH00228,Container leaking,Container leaking,CH00228
CH00229,Wrong type of tube or container,Wrong type of tube or container,CH00229
CH00230,Inappropriate temperature,Inappropriate temperature,CH00230
CH00231,Other condition,Other condition,CH00231
CH00232,CASPIR,CASPIR,CH00232
CH00233,Central Processing Laboratory,CPL,CH00233
CH00234,Other facility,Other facility,CH00234
CH00235,Pax-Gene Tube,Pax-Gene Tube,3664587
CH00236,Urine Cup,Urine Cup,CH00236
CH00237,BD Falcon 14 mL,BD Falcon 14 mL,CH00237
CH00238,BD Falcon 15 mL,BD Falcon 15 mL,CH00238
CH00239,BD Falcon 50 mL,BD Falcon 50 mL,CH00239
CH00240,Cryoblock,Cryoblock,CH00240
CH00241,Cryovial 1.0 mL,Cryovial 1.0 mL,CH00241
CH00242,Cryovial 2.0 mL,Cryovial 2.0 mL,CH00242
CH00243,Eppendorf Tube 0.5 mL,Eppendorf Tube 0.5 mL,CH00243
CH00244,Eppendorf Tube 1.7 mL,Eppendorf Tube 1.7 mL,CH00244
CH00245,Multi-Well Plate,Multi-Well Plate,CH00245
CH00246,Formalin-Fixed Paraffin Embedded Block,FFPE Block,CH00246
CH00247,Plastic Bag (Heat-Sealed),Plastic Bag (Heat-Sealed),CH00247
CH00248,Plastic Bag (Small),Plastic Bag (Small),CH00248
CH00249,Screw Top 0.5 mL,Screw Top 0.5 mL,CH00249
CH00250,Screw Top 2.0 mL,Screw Top 2.0 mL,CH00250
CH00251,Formalin Jar,Formalin Jar,CH00251
CH00252,Green Top 10 mL,Green Top 10 mL,CH00252
CH00253,Green Top 6.0 mL,Green Top 6.0 mL,CH00253
CH00254,Lav Top 10 mL,Lav Top 10 mL,CH00254
CH00255,Lav Top 4.0 mL,Lav Top 4.0 mL,CH00255
CH00256,Red Top 10 mL,Red Top 10 mL,CH00256
CH00257,Red Top 4.0 mL,Red Top 4.0 mL,CH00257
CH00258,Specimen Cup,Specimen Cup,CH00258
CH00259,Yellow Top 8.5 mL,Yellow Top 8.5 mL,CH00259
CH00260,Cryovial 1.8 mL,Cryovial 1.8 mL,CH00260
CH00261,Paraformaldehyde,Paraformaldehyde,52836003
CH00262,Ethanol,Ethanol,419442005
CH00263,Formalin,Formalin,431510009
CH00264,OCT Compound,OCT Compound,433469005
CH00265,EDTA,EDTA,69519002
CH00266,Periodate-lysine-paraformaldehyde,PLPF,C046311
CH00267,PLP or Ethanol,PLP or Ethanol,CH00267
CH00272,Gram Stn Fld,Gram stain,27112-2
CH00273,Plasmodium Ag Bld EIA.rapid,Plasmodium Ag Rapid EIA,70569-9
CH00274,Malaria Thick Smear Bld,Malaria thick smear,637-9
CH00275,Malaria Thin Smear Bld,Malaria thin smear,33271-8
CH00276,HIV1 RNA XXX Ql PCR,HIV RNA PCR,5018-7
CH00277,HIV 1 proviral DNA XXX Ql PCR,HIV DNA PCR,74853-3
CH00278,M TB Cmplx DNA XXX Ql PCR,Mycobacterium tuberculosis PCR,38379-4
CH00279,M TB rpoB XXX Ql PCR,Mycobacterium tuberculosis rifampin resistance PCR,48176-2
CH00280,Auxilary Test,Auxilary Test,CH00280
CH00281,Bordatella spp.,Bordatella spp.,BORD_1
CH00282,C. difficile,C. difficile,CDIF_1
CH00283,C. diphtheria,C. diphtheria,CDIP_1
CH00284,H. influenzae,H. influenzae,HFLU_1
CH00285,MERS coronavirus,MERS coronavirus,MCOR_1
CH00286,Salmonella spp.,Salmonella spp.,SALM_1
CH00287,V. cholerae,V. cholerae,VCHO_1
CH00288,Acinetobacter baumannii,Acinetobacter baumannii,ABAU_1
CH00289,Adenovirus,Adenovirus,ADEV_1
CH00290,Adenovirus 40/41,Adenovirus 40/41,AD4X_1
CH00291,Aeromonas spp.,Aeromonas spp.,AERO_1
CH00292,Ascaris lumbricoides,Ascaris lumbricoides,ASLU_1
CH00293,Astrovirus,Astrovirus,ASTR_1
CH00294,Bartonella spp.,Bartonella spp.,BART_1
CH00295,"Bordetella parapertussi, Bordetella bronchiseptica (Insertion sequence IS1001)","Bordetella parapertussi, Bordetella bronchiseptica (Insertion sequence IS1001)",BPAR_1
CH00296,"Bordetella pertussis, Bordetella holmseii  (Insertion sequence IS481)","Bordetella pertussis, Bordetella holmseii  (Insertion sequence IS481)",BOP1_1
CH00297,Bordetella pertussis (pertussis toxin),Bordetella pertussis (pertussis toxin),BOP2_1
CH00298,Brucella spp.,Brucella spp.,BRUC_1
CH00299,Burkholderia pseudomallei,Burkholderia pseudomallei,BUPS_1
CH00300,C. difficile paLOC,C. difficile paLOC,CLDP_1
CH00301,C. difficile tcdA,C. difficile tcdA,CLDA_1
CH00302,C. difficile tcdB,C. difficile tcdB,CLDB_1
CH00303,Campylobacter coli,Campylobacter coli,CACO_1
CH00304,Campylobacter jejuni,Campylobacter jejuni,CAJE_1
CH00305,Candida albicans,Candida albicans,CAAL_1
CH00306,Crimean-Congo Hemorrhagic Fever virus (CCHF),Crimean-Congo Hemorrhagic Fever virus (CCHF),CCHF_1
CH00307,Chikungunya virus,Chikungunya virus,CHIC_1
CH00308,Chlamydia pneumoniae,Chlamydia pneumoniae,CHPN_1
CH00309,Chlamydia trachomatis,Chlamydia trachomatis,CHTR_1
CH00310,Corynebacterium diptheriae,Corynebacterium diptheriae,CODI_1
CH00311,"Corynebacterium ulcerans, Corynebacterium pseudotuberculosis","Corynebacterium ulcerans, Corynebacterium pseudotuberculosis",COUP_1
CH00312,Corynebacterium spp. (tox gene),Corynebacterium spp. (tox gene),CTOX_1
CH00313,Coxiella burnettii,Coxiella burnettii,COBU_1
CH00314,"Cryptococcus neoformans, Cryptococcus gattii","Cryptococcus neoformans, Cryptococcus gattii",CRNG_1
CH00316,Cryptosporidium parvum,Cryptosporidium parvum,CRPA_1
CH00317,Cytomegalovirus (CMV),Cytomegalovirus (CMV),CYMV_1
CH00318,Dengue (pan),Dengue (pan),DENV_1
CH00319,Entamoeba histolytica,Entamoeba histolytica,ENHI_1
CH00320,Escherichia coli (aaiC gene),Escherichia coli (aaiC gene),EAE1_1
CH00321,Escherichia coli (aatA gene),Escherichia coli  (aatA gene),EAE2_1
CH00322,Escherichia coli/Shigella (ipaH gene),Escherichia coli/Shigella (ipaH gene),EIES_1
CH00323,Enterococcus faecium,Enterococcus faecium,ENFM_1
CH00324,Enterococcus faecalis,Enterococcus faecalis,ENFC_1
CH00325,Enterovirus,Enterovirus,ENTV_4
CH00326,Escherichia coli (bfpA gene),Escherichia coli (bfpA gene),EPE2_1
CH00327,Escherichia coli (eae gene),Escherichia coli (eae gene),EPE1_1
CH00328,Escherichia coli/Shigella,Escherichia coli/Shigella,ECSH_1
CH00329,Escherichia coli (heat-labile enterotoxin),Escherichia coli (heat-labile enterotoxin),ETLT_1
CH00330,Escherichia coli (heat-stable enterotoxin),Escherichia coli (heat-stable enterotoxin),ETST_1
CH00331,Giardia spp.,Giardia spp.,GIAR_1
CH00332,Group A Streptococcus,Group A Streptococcus,GAST_2
CH00333,Group B Streptococcus,Group B Streptococcus,GBST_1
CH00334,Haemophilus influenza,Haemophilus influenza,HIAT_1
CH00335,Haemophilus influenzae type B,Haemophilus influenzae type B,HITB_2
CH00336,Human coronavirus 1 (229E),Human coronavirus 1 (229E),HCV1_1
CH00337,Human coronavirus 2 (NL63),Human coronavirus 2 (NL63),HCV2_1
CH00338,Human coronavirus 3 (OC43),Human coronavirus 3 (OC43),HCV3_1
CH00339,Human coronavirus 4 (HKU1),Human coronavirus 4 (HKU1),HCV4_1
CH00340,Hepatitis E virus,Hepatitis E virus,HEPE_1
CH00341,Human metapneumovirus (HMPV),Human metapneumovirus (HMPV),HMPV_1
CH00342,Herpes simplex virus 1 (HSV1),Herpes simplex virus 1 (HSV1),HSV1_1
CH00343,Herpes simplex virus 2 (HSV2),Herpes simplex virus 2 (HSV2),HSV2_1
CH00344,Human nucleic acid control (Rnase P),Human nucleic acid control (Rnase P),RNP3_1
CH00345,Influenza A,Influenza A,FLUA_1
CH00346,Influenza B,Influenza B,FLUB_1
CH00347,Internal Positive Control (IPCO),Internal Positive Control (IPCO),IPCO_1
CH00348,Japanese encephalitis virus,Japanese encephalitis virus,JENV_1
CH00349,Klebsiella pneumoniae,Klebsiella pneumoniae,KLPN_1
CH00350,Leptospira (pan-serovar),Leptospira (pan-serovar),LEPT_1
CH00351,Listeria monocytogenes,Listeria monocytogenes,LIMO_1
CH00352,Measles,Measles,MEVS_1
CH00353,MERS coronavirus (N gene),MERS coronavirus (N gene),MRSN_1
CH00354,MERS coronavirus (upE gene),MERS coronavirus (upE gene),MRSU_1
CH00355,Moraxella catarrhalis,Moraxella catarrhalis,MOCA_1
CH00356,Mumps,Mumps,MUMP_1
CH00357,MS2 phage for extraction control,MS2 phage for extraction control,MS2P_1
CH00358,Mycobacterium tuberculosis,Mycobacterium tuberculosis,MYTB_1
CH00359,Mycoplasma pneumoniae,Mycoplasma pneumoniae,MYPN_1
CH00360,Neisseria gonorrhoeae,Neisseria gonorrhoeae,NEGO_1
CH00361,Neisseria meningitidis,Neisseria meningitidis,NMEN_1
CH00362,Nipah virus,Nipah virus,NIPV_1
CH00363,Norovirus GI,Norovirus GI,NOR1_1
CH00364,Norovirus GII,Norovirus GII,NOR2_1
CH00365,Orientia tsutsugamushi,Orientia tsutsugamushi,ORTS_1
CH00366,Parechovirus,Parechovirus,HPEV_1
CH00367,Parvovirus B19,Parvovirus B19,PARV_1
CH00368,Parainfluenza virus type 1,Parainfluenza virus type 1,PIV1_2
CH00369,Parainfluenza virus type 2,Parainfluenza virus type 2,PIV2_1
CH00370,Parainfluenza virus type 3,Parainfluenza virus type 3,PIV3_1
CH00371,Parainfluenza virus type 4,Parainfluenza virus type 4,PIV4_1
CH00372,Plasmodium falciparum,Plasmodium falciparum,PLFA_1
CH00373,Plasmodium vivax,Plasmodium vivax,PLVI_1
CH00374,Pneumocystis jirovecii,Pneumocystis jirovecii,PNJI_1
CH00375,Pseudomonas aeruginosa,Pseudomonas aeruginosa,PSAE_1
CH00376,Respiratory syncytial virus (RSV),Respiratory syncytial virus (RSV),RESV_1
CH00377,Rhinovirus,Rhinovirus,RHIV_1
CH00378,Rickettsia spp.,Rickettsia spp.,RICK_1
CH00379,Rift Valley Fever,Rift Valley Fever,RIVF_1
CH00380,Rotavirus A,Rotavirus A,ROTA_1
CH00381,Rotavirus B,Rotavirus B,ROTB_1
CH00382,Rotavirus C,Rotavirus C,ROTC_1
CH00383,Rotavirus non-typable,Rotavirus non-typable,ROTN_1
CH00384,Rubella,Rubella,RUBV_2
CH00385,Salmonella paratyphi A,Salmonella paratyphi A,SAPA_1
CH00386,Salmonella spp.,Salmonella spp.,SALS_1
CH00387,Salmonella typhi,Salmonella typhi,SATY_1
CH00388,Sapovirus I/II/IV,Sapovirus I/II/IV,SAPX_1
CH00389,Sapovirus V,Sapovirus V,SAPV_1
CH00390,Staphylococcus aureus,Staphylococcus aureus,STAU_2
CH00391,Shiga toxin/Shiga-like toxin 1,Shiga toxin/Shiga-like toxin 1,STX1_1
CH00392,Shiga-like toxin 2,Shiga-like toxin 2,STX2_1
CH00393,Streptococcus pneumoniae,Streptococcus pneumoniae,STPN_2
CH00394,Streptococcus suis,Streptococcus suis,STSU_1
CH00395,Toxoplasma gondii,Toxoplasma gondii,TOXO_1
CH00396,Treponema pallidum,Treponema pallidum,TRPA_1
CH00397,Trichuris trichuria,Trichuris trichuria,TRTR_1
CH00398,Ureaplasma spp.,Ureaplasma spp.,URUP_1
CH00399,Varicella zoster virus,Varicella zoster virus,VAZV_1
CH00400,Vibrio cholerae,Vibrio cholerae,VICH_1
CH00401,Vibrio cholerae toxigenic,Vibrio cholerae toxigenic,VTOX_1
CH00402,West Nile Virus,West Nile Virus,WENV_1
CH00403,Yellow Fever virus,Yellow Fever virus,YEFV_1
CH00404,Yersinia spp.,Yersinia spp.,YERS_1
CH00405,Zika,Zika,ZIKA_1
CH00406,Percent infected red blood cells,Percent infected RBCs,CH00406
CH00407,Bangladesh,People’s Republic of Bangladesh,BD
CH00408,Ethiopia,Federal Democratic Republic of Ethiopia,ET
CH00409,Kenya,Republic of Kenya,KE
CH00410,Mali,Republic of Mali,ML
CH00411,Mozambique,Republic of Mozambique,MZ
CH00412,Sierra Leone,Republic of Sierra Leone,SL
CH00413,South Africa,Republic of South Africa,ZA
CH00414,Bandarban,NA,BD-01
CH00415,Barguna,NA,BD-02
CH00416,Bogra,NA,BD-03
CH00417,Brahmanbaria,NA,BD-04
CH00418,Bagerhat,NA,BD-05
CH00419,Barisal,NA,BD-06
CH00420,Bhola,NA,BD-07
CH00421,Comilla,NA,BD-08
CH00422,Chandpur,NA,BD-09
CH00423,Chittagong,NA,BD-10
CH00424,Cox's Bazar,NA,BD-11
CH00425,Chuadanga,NA,BD-12
CH00426,Dhaka,NA,BD-13
CH00427,Dinajpur,NA,BD-14
CH00428,Faridpur,NA,BD-15
CH00429,Feni,NA,BD-16
CH00430,Gopalganj,NA,BD-17
CH00431,Gazipur,NA,BD-18
CH00432,Gaibandha,NA,BD-19
CH00433,Habiganj,NA,BD-20
CH00434,Jamalpur,NA,BD-21
CH00435,Jessore,NA,BD-22
CH00436,Jhenaidah,NA,BD-23
CH00437,Jaipurhat,NA,BD-24
CH00438,Jhalakati,NA,BD-25
CH00439,Kishoreganj,NA,BD-26
CH00440,Khulna,NA,BD-27
CH00441,Kurigram,NA,BD-28
CH00442,Khagrachari,NA,BD-29
CH00443,Kushtia,NA,BD-30
CH00444,Lakshmipur,NA,BD-31
CH00445,Lalmonirhat,NA,BD-32
CH00446,Manikganj,NA,BD-33
CH00447,Mymensingh,NA,BD-34
CH00448,Munshiganj,NA,BD-35
CH00449,Madaripur,NA,BD-36
CH00450,Magura,NA,BD-37
CH00451,Moulvibazar,NA,BD-38
CH00452,Meherpur,NA,BD-39
CH00453,Narayanganj,NA,BD-40
CH00454,Netrakona,NA,BD-41
CH00455,Narsingdi,NA,BD-42
CH00456,Narail,NA,BD-43
CH00457,Natore,NA,BD-44
CH00458,Nawabganj,NA,BD-45
CH00459,Nilphamari,NA,BD-46
CH00460,Noakhali,NA,BD-47
CH00461,Naogaon,NA,BD-48
CH00462,Pabna,NA,BD-49
CH00463,Pirojpur,NA,BD-50
CH00464,Patuakhali,NA,BD-51
CH00465,Panchagarh,NA,BD-52
CH00466,Rajbari,NA,BD-53
CH00467,Rajshahi,NA,BD-54
CH00468,Rangpur,NA,BD-55
CH00469,Rangamati,NA,BD-56
CH00470,Sherpur,NA,BD-57
CH00471,Satkhira,NA,BD-58
CH00472,Sirajganj,NA,BD-59
CH00473,Sylhet,NA,BD-60
CH00474,Sunamganj,NA,BD-61
CH00475,Shariatpur,NA,BD-62
CH00476,Tangail,NA,BD-63
CH00477,Thakurgaon,NA,BD-64
CH00478,Barisal,NA,BD-A
CH00479,Chittagong,NA,BD-B
CH00480,Dhaka,NA,BD-C
CH00481,Khulna,NA,BD-D
CH00482,Rajshahi,NA,BD-E
CH00483,Rangpur,NA,BD-F
CH00484,Sylhet,NA,BD-G
CH00485,Addis Ababa,NA,ET-AA
CH00486,Dire Dawa,NA,ET-DD
CH00487,Afar,NA,ET-AF
CH00488,Amara,NA,ET-AM
CH00489,Benshangul-Gumaz,NA,ET-BE
CH00490,Gambela Peoples,NA,ET-GA
CH00491,Harari People,NA,ET-HA
CH00492,Oromia,NA,ET-OR
CH00493,"Southern Nations, Nationalities and Peoples",NA,ET-SN
CH00494,Somali,NA,ET-SO
CH00495,Tigrai,NA,ET-TI
CH00496,Baringo,NA,KE-01
CH00497,Bomet,NA,KE-02
CH00498,Bungoma,NA,KE-03
CH00499,Busia,NA,KE-04
CH00500,Elgeyo/Marakwet,NA,KE-05
CH00501,Embu,NA,KE-06
